TaxID,Domain,Phylum,Class,Order,Family,Genus,Species
1095317402,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Cecembia,s__Cecembia sp007126775
985656948,d__Bacteria,p__Pseudomonadota,c__Zetaproteobacteria,o__Mariprofundales,f__JAUZRG01,g__JAUZRG01,s__JAUZRG01 sp030950585
1179709727,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Cohaesibacteraceae,g__Cohaesibacter,s__Cohaesibacter sp025800145
1470519680,d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__JABGUH01,s__JABGUH01 sp018646675
389896970,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Weimeria,s__Weimeria bifida
1524352388,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,s__13-2-20CM-66-19 sp025451275
462634609,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__RBG-13-42-11,g__JAQUAA01,s__JAQUAA01 sp028687495
41237041,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA6257,f__2-01-FULL-56-20,g__JANWIW01,s__JANWIW01 sp025449695
2059362515,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__Pseudolabrys sp001899285
290444940,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Breznakiellaceae,g__JAIRKH01,s__JAIRKH01 sp031279555
1690294572,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__B4-G1,f__B4-G1,g__SKLM01,s__SKLM01 sp007123205
753518132,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,g__S145-25,s__S145-25 sp027061425
272198853,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,g__Aquitalea,s__Aquitalea denitrificans
1239240821,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp017560305
1544587534,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__JAJXWB01,s__JAJXWB01 sp028868735
1704229409,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__JAILFQ01,s__JAILFQ01 sp024697505
1641106128,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Coproplasma,s__Coproplasma excrementipullorum
1122555678,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,s__13-2-20CM-66-19 sp021805865
442083854,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Terriglobales,f__Acidobacteriaceae,g__JAJZIF01,s__JAJZIF01 sp021810735
640531723,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Catenibacillus,s__Catenibacillus faecavium
1559957007,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae,g__Salinicoccus,s__Salinicoccus albus
1864905414,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio furnissii
443930643,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Azotimanducaceae_A,g__VXYL01,s__VXYL01 sp026706385
1252185955,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Ornithospirochaeta,s__Ornithospirochaeta sp002406055
465802517,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UBA1740,s__UBA1740 sp017453245
1828180200,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia pyrrocinia_D
250697615,d__Bacteria,p__Myxococcota_A,c__UBA9160,o__UBA9160,f__UBA6930,g__UBA6930,s__UBA6930 sp002450755
280735862,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__CATPCN01,s__CATPCN01 sp955652855
1773853622,d__Bacteria,p__Patescibacteria,c__CALEFQ01,o__CALEFQ01,f__CALEFQ01,g__CALEFQ01,s__CALEFQ01 sp937877125
10757888,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__Anaerotruncus sp904398655
699947318,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Limenecus,s__Limenecus sp944323475
401965269,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__CAKSFT01,s__CAKSFT01 sp934444735
2125748650,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Microbacteriaceae,g__Arenivirga,s__Arenivirga flava
1005491622,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__UMGS1958,s__UMGS1958 sp905215805
1505938589,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Gluconacetobacter,s__Gluconacetobacter vanlangensis
482118761,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Firm-04,s__Firm-04 sp016295145
2054633721,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium soli
1230332590,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Companilactobacillus,s__Companilactobacillus mishanensis
2143119791,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium jeikeium_C
913309094,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas auensis
80447665,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Azonexus,s__Azonexus hankyongensis
301791789,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium sp023418505
1595777683,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas sp013912005
92679501,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA3855,s__UBA3855 sp024699425
1026425325,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__GWA2-46-15,g__GWA2-46-15,s__GWA2-46-15 sp002772575
38008962,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__TCS61,g__SDB,s__SDB sp001412425
917370026,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__QALR01,s__QALR01 sp003150035
2108725178,d__Bacteria,p__Edwardsbacteria,c__AC1,o__AC1,f__EtOH8,g__UBA2226,s__UBA2226 sp018821925
1823183444,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__DFXE01,s__DFXE01 sp031269535
189242624,d__Bacteria,p__Spirochaetota,c__Brevinematia,o__Brevinematales,f__GWF1-51-8,g__GWF1-51-8,s__GWF1-51-8 sp013177895
294249721,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Zhengella,s__Zhengella sp019912385
35776125,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9973,f__UBA2103,g__C7867-001,s__C7867-001 sp021813835
2124910620,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Levybacterales,f__UBA12049,g__JACPGQ01,s__JACPGQ01 sp016188975
1982987501,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA1565,g__SCTT01,s__SCTT01 sp016218495
494237445,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Aristaeellaceae,g__UBA11524,s__UBA11524 sp017397765
273476125,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Phreatobacteraceae,g__Phreatobacter,s__Phreatobacter sp001464235
2013953743,d__Bacteria,p__Aquificota,c__Aquificae,o__Aquificales,f__QOAS01,g__QOAS01,s__QOAS01 sp027036735
1397433404,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminiclostridium_E,s__Ruminiclostridium_E sp009777155
814397635,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__ER46,s__ER46 sp030832235
13549422,d__Bacteria,p__Patescibacteria,c__ABY1,o__SBBC01,f__SBBC01,g__JACQPY01,s__JACQPY01 sp016207275
786166663,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__WRIO01,g__WRLO01,s__WRLO01 sp009777575
192675442,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,s__Dysgonomonas sp031271965
199850916,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Micromonosporaceae,g__Actinocatenispora,s__Actinocatenispora sera
1736498997,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_A,s__Helicobacter_A rappini
1650048648,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E orientalis_A
1132766599,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAJJNI01,s__CAJJNI01 sp905193085
1123323774,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,s__Lawsonibacter sp020025425
76598381,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__CAIQNR01,g__CANNBR01,s__CANNBR01 sp947502805
1430374135,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium sp006489205
905467930,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp948468315
1578122559,d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA1511,s__UBA1511 sp030836365
1886751383,d__Bacteria,p__Schekmanbacteria,c__GWA2-38-11,o__GWA2-38-11,f__J061,g__J061,s__J061 sp003695725
392115860,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,s__Pelagibacter sp902519695
69752334,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales_H,f__Marinococcaceae,g__Salicibibacter,s__Salicibibacter cibi
612663737,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA3857,s__UBA3857 sp937913075
1224694407,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__GCA-002733185,s__GCA-002733185 sp015490835
54634712,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9973,f__GWA1-40-21,g__Bog-1340,s__Bog-1340 sp018968925
176461456,d__Bacteria,p__Bacillota_I,c__Bacilli_A,o__Erysipelotrichales,f__Erysipelotrichaceae,g__RUG11872,s__RUG11872 sp902773425
198482431,d__Bacteria,p__Planctomycetota,c__Uabimicrobiia,o__Uabimicrobiales,f__JABWCH01,g__JAKLHB01,s__JAKLHB01 sp022710345
1257740694,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Smithellaceae,g__Smithella,s__Smithella sp001683985
1709199837,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9973,f__UBA9973,g__UBA9973,s__UBA9973 sp001785985
80904114,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__Bradyrhizobium sp001908205
1676707732,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-314,g__Fimimonas,s__Fimimonas sp003537755
1055934919,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,s__Barnesiella excrementigallinarum
484717487,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus,s__Algoriphagus marincola
1448975353,d__Bacteria,p__Actinomycetota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,g__Rubrobacter_C,s__Rubrobacter_C taiwanensis
2119551841,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__Ferruginibacter sp937996595
1784523292,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp902761655
1706966177,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp944387615
1308999362,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp017551405
402521622,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp017449025
1516218651,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Petralouisia,s__Petralouisia sp910580015
1466218923,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Bianqueaceae,g__CALWPV01,s__CALWPV01 sp947570515
81208366,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp017554385
1271590329,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__RF16 sp017439235
901167161,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__CACIVM01,s__CACIVM01 sp902590115
1652171402,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,s__Weissella kandleri
1329340243,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__RGIG8482,s__RGIG8482 sp949948835
1647391031,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-11,s__Bact-11 sp017616655
1863667282,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp947648875
911181915,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp017420455
1239894422,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lentilactobacillus,s__Lentilactobacillus sp026913205
1854343095,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,s__Xenorhabdus anantnagensis
1242928527,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__Saccharopolyspora soli
1973368081,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium,s__Sphingomicrobium caseinilyticus
980384774,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides_C,s__Nocardioides_C sp002384855
259054745,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Tardiphaga,s__Tardiphaga robiniae
435334003,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales_B,f__DSM-1321,g__Peribacillus,s__Peribacillus loiseleuriae
1713556051,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__UBA1784,s__UBA1784 sp015061685
1655236002,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Metallibacterium,s__Metallibacterium sp003233305
525215101,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,s__Sediminibacterium sp013289065
1805656995,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Bifidobacteriaceae,g__Galliscardovia,s__Galliscardovia primatium
1153086571,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__CAITJF01,s__CAITJF01 sp016218445
1169319483,d__Bacteria,p__Desulfobacterota,c__Thermodesulfobacteria,o__Thermodesulfobacteriales,f__Thermodesulfobacteriaceae,g__Thermodesulfobacterium,s__Thermodesulfobacterium sp025062245
1218620644,d__Bacteria,p__Bdellovibrionota_G,c__JALEGL01,o__JALEGL01,f__JAGRMV01,g__JAGRMV01,s__JAGRMV01 sp020441045
1081575330,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA629,s__UBA629 sp024682375
1815974278,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Hominimerdicola,s__Hominimerdicola sp019423705
731061083,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1279,s__UMGS1279 sp015065925
742429100,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfocapsaceae,g__Desulfocapsa,s__Desulfocapsa sp022712975
1771736742,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Nanopelagicales,f__Nanopelagicaceae,g__QYPT01,s__QYPT01 sp009699375
1934674600,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Hanamia,s__Hanamia sp019455085
1005220825,d__Bacteria,p__Bacillota_I,c__Bacilli_A,o__Erysipelotrichales,f__Erysipelotrichaceae,g__UBA636,s__UBA636 sp024681275
156470985,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Afifellaceae,g__Faunimonas,s__Faunimonas sp028281235
814297562,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Palsa-965,f__Palsa-965,g__GCA-2737665,s__GCA-2737665 sp023151315
1745459992,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,f__Pseudopelobacteraceae,g__JACRCG01,s__JACRCG01 sp028712075
582891057,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Aristaeellaceae,g__Aristaeella,s__Aristaeella sp015056205
1118989408,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium sp030830245
1322458321,d__Bacteria,p__Omnitrophota,c__Koll11,o__Aquiviventales,f__Aquiviventaceae,g__SBAZ01,s__SBAZ01 sp005239935
40232018,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__Chitinophaga pinensis_C
563330466,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900547835
2102579763,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Herbaspirillum,s__Herbaspirillum sp028292625
1053027591,d__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Casp-actino8,s__Casp-actino8 sp009705435
526505648,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Limenecus,s__Limenecus sp944323275
349810359,d__Bacteria,p__Bacillota_I,c__Bacilli_A,o__Erysipelotrichales,f__Erysipelotrichaceae,g__UBA636,s__UBA636 sp900546285
236015357,d__Bacteria,p__Patescibacteria,c__ABY1,o__Buchananbacterales,f__UBA6539,g__UBA6539,s__UBA6539 sp002687175
362683808,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales_B,f__DSM-18226,g__Bacillus_D,s__Bacillus_D sp001685025
732010557,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CALXEN01,s__CALXEN01 sp944387885
1475592389,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rs-D84,f__Rs-D84,g__Enterousia,s__Enterousia sp947304085
480678766,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA5905,s__UBA5905 sp021640185
12452008,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium_E,s__Rhizobium_E sp014158035
917881470,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas tecta
1630903640,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides faecis
1271771689,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus tequilensis
1938475772,d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Halobacteriovorax_A,s__Halobacteriovorax_A sp000443995
115516262,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Aristaeellaceae,g__UBA11524,s__UBA11524 sp017471885
314452015,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-115,s__CAG-115 sp947627465
942833204,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomataceae,g__Aquirufa,s__Aquirufa sp947450865
1411690748,d__Bacteria,p__Bacillota_I,c__Bacilli_A,o__RF39,f__UBA660,g__CAKPEJ01,s__CAKPEJ01 sp934149325
470652109,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__DRJJ01,f__DRJJ01,g__DRJJ01,s__DRJJ01 sp947258795
1943996447,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__UBA737 sp902762875
757445127,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Microbacteriaceae,g__Terrimesophilobacter,s__Terrimesophilobacter sp937872445
1661663213,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__SZUA-152,f__SZUA-152,g__DRQN01,s__DRQN01 sp913009875
1724606308,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__RUG023,s__RUG023 sp900315435
973625645,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp902774145
2092642655,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__UBA7937,f__UBA7937,g__UBA7937,s__UBA7937 sp003453555
1492560385,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__UBA1829,g__RGIG5327,s__RGIG5327 sp017629515
